Z_PK,Z_ENT,Z_OPT,ZPARENTLAYER,ZRENDITION,Z_FOK_PARENTLAYER,ZNAME
824,25,1,507,,3072,Rollover
825,25,1,586,882,3072,On
826,25,1,574,426,2048,Off
827,25,1,624,627,3072,On
828,25,1,3292,530,3072,On
829,25,1,,503,,Gradient
830,25,1,766,990,3072,Pressed
831,25,1,617,307,2048,Off
832,25,1,,3016,,Pattern Overlay
833,25,1,,593,,0
834,25,1,,,,Inactive
835,25,1,1053,490,2048,0
836,25,1,,,,Active
837,25,1,3461,,4096,Pressed
838,25,1,769,,2048,Normal
839,25,1,1397,1021,2048,Off
840,25,1,2990,,4096,Pressed
841,25,1,2095,,5120,Disabled
842,25,1,739,680,2048,Off
843,25,1,817,499,2048,0
844,25,1,617,537,3072,On
845,25,1,3995,756,2048,Off
846,25,1,478,717,3072,On
847,25,1,4676,541,3072,On
848,25,1,,58,,Normal-Mixed to Pressed-Mixed
849,25,1,,2798,,Normal
850,25,1,3657,,5120,Disabled
851,25,1,4185,,4096,Disabled
852,25,1,3480,,4096,Pressed
853,25,1,948,813,2048,Off
854,25,1,333,747,3072,On
855,25,1,,,,Active Main
856,25,1,278,688,4096,Disabled
857,25,1,,,,Inactive
858,25,1,4124,,3072,Rollover
859,25,1,,,,Inactive
860,25,1,,2685,,1
861,25,1,,600,,Normal
862,25,1,,,,Active
863,25,1,807,725,2048,Off
864,25,1,798,716,2048,Normal
865,25,1,781,703,2048,Normal
866,25,1,,387,,1
867,25,1,,,,Active
868,25,1,633,704,3072,On
869,25,1,401,857,4096,Disabled
870,25,1,125,610,4096,Disabled
871,25,1,3937,701,7168,5
872,25,1,677,518,2048,Off
873,25,1,1076,1048,2048,0
874,25,1,4766,,3072,Pressed
875,25,1,515,772,3072,Mask
876,25,1,297,626,4096,Pressed
877,25,1,,3499,,Disabled
878,25,1,809,714,2048,Normal
879,25,1,816,715,2048,Normal
880,25,1,822,,2048,Normal
881,25,1,3444,3058,4096,Mixed
882,25,1,34,709,4096,2
883,25,1,905,697,3072,On
884,25,1,531,807,3072,On
885,25,1,,724,,Gradient
886,25,1,,,,Active
887,25,1,,,,Inactive
888,25,1,1338,829,2048,Off
889,25,1,4157,,3072,Rollover
890,25,1,4853,621,5120,3
891,25,1,628,922,3072,On
892,25,1,2284,1166,3072,Pressed
893,25,1,450,582,3072,Pressed
894,25,1,3254,2029,2048,Normal
895,25,1,158,891,3072,Disabled
896,25,1,625,408,3072,1
897,25,1,4420,561,5120,Disabled
898,25,1,340,,3072,Pressed
899,25,1,,,,Active
900,25,1,,766,,Normal
901,25,1,3165,2034,2048,Off
902,25,1,736,431,2048,Normal
903,25,1,146,,3072,Pressed
904,25,1,219,854,4096,Disabled
905,25,1,1361,,6144,Deeply Pressed
906,25,1,2698,2192,3072,Pressed
907,25,1,836,,2048,Normal
908,25,1,,2857,,Pressed-On to Normal-Off
909,25,1,702,630,4096,Disabled
910,25,1,2535,2621,3072,On
911,25,1,2333,1865,2048,0
912,25,1,550,789,3072,On
913,25,1,269,572,4096,Mask
914,25,1,412,528,3072,On
915,25,1,3552,,5120,Deeply Pressed
916,25,1,2226,1883,2048,Off
917,25,1,,,,Active
918,25,1,887,,2048,Normal
919,25,1,3647,,5120,Deeply Pressed
920,25,1,,,,Inactive
921,25,1,2929,,5120,Disabled
922,25,1,3644,,4096,Disabled
923,25,1,450,890,4096,Disabled
924,25,1,408,562,2048,Off
925,25,1,,2257,,Normal
926,25,1,3314,437,3072,On
927,25,1,,,,Active
928,25,1,4937,285,3072,On
929,25,1,4813,513,5120,3
930,25,1,,763,,Disabled
931,25,1,862,,2048,Normal
932,25,1,592,839,3072,Pressed
933,25,1,522,752,4096,Disabled
934,25,1,451,872,3072,On
935,25,1,507,,2048,Normal
936,25,1,880,792,2048,0
937,25,1,4788,401,4096,Disabled
938,25,1,4893,,4096,Pressed
939,25,1,773,469,2048,Normal
940,25,1,1238,941,2048,Normal
941,25,1,4895,,4096,Disabled
942,25,1,,,,Inactive
943,25,1,867,,2048,Normal
944,25,1,,,,Active
945,25,1,3344,452,3072,On
946,25,1,,,,Inactive
947,25,1,957,946,3072,On
948,25,1,118,,3072,Pressed
949,25,1,,,,Active
950,25,1,3526,618,3072,Pressed
951,25,1,4377,,4096,Disabled
952,25,1,,327,,Pressed-On to Normal-On
953,25,1,970,779,3072,On
954,25,1,,749,,Normal
955,25,1,907,776,2048,Off
956,25,1,886,471,2048,Normal
957,25,1,4679,,3072,Pressed
958,25,1,,,,Inactive
959,25,1,1893,1575,2048,Off
960,25,1,1355,21,3072,On
961,25,1,1776,293,3072,On
962,25,1,657,919,2048,Off
963,25,1,1532,971,2048,Normal
964,25,1,899,761,2048,Normal
965,25,1,975,754,5120,Disabled
966,25,1,1259,,6144,Pulse
967,25,1,426,515,3072,On
968,25,1,3943,,4096,Disabled
969,25,1,454,597,2048,Off
970,25,1,666,,2048,Normal
971,25,1,269,542,3072,Disabled
972,25,1,946,,2048,Normal
973,25,1,,764,,Normal
974,25,1,726,,2048,Normal
975,25,1,,,,Active
976,25,1,1710,,5120,Disabled
977,25,1,333,654,2048,Off
978,25,1,,,,Inactive
979,25,1,406,257,4096,Mixed
980,25,1,931,793,2048,0
981,25,1,1186,1096,2048,Background
982,25,1,4874,,3072,Pressed
983,25,1,943,797,2048,Off
984,25,1,442,,3072,Pressed
985,25,1,770,814,3072,On
986,25,1,,633,,1
987,25,1,722,994,3072,1
988,25,1,,3322,,Pattern Overlay
989,25,1,917,775,2048,Normal
990,25,1,,1772,,Disabled
991,25,1,3643,,5120,Deeply Pressed
992,25,1,1036,1113,3072,On
993,25,1,4279,751,4096,Disabled
994,25,1,128,855,3072,On
995,25,1,3955,3325,5120,Disabled
996,25,1,445,877,3072,1
997,25,1,539,948,4096,Disabled
998,25,1,,2896,,Normal
999,25,1,927,272,2048,Normal
1000,25,1,566,808,5120,3
1001,25,1,4624,1695,2048,Off
1002,25,1,3403,497,3072,On
1003,25,1,547,677,2048,Off
1004,25,1,4893,,3072,Rollover
1005,25,1,375,836,3072,On
1006,25,1,228,161,2048,Off
1007,25,1,4935,1035,2048,Off
1008,25,1,540,926,3072,1
1009,25,1,494,622,2048,Off
1010,25,1,4020,,5120,Deeply Pressed
1011,25,1,4895,,3072,Pressed
1012,25,1,414,852,4096,Mixed
1013,25,1,1309,1121,2048,Off
1014,25,1,982,619,2048,0
1015,25,1,,2976,,Normal
1016,25,1,524,667,3072,Pressed
1017,25,1,944,,2048,Normal
1018,25,1,,594,,Pressed-Off to Normal-Off
1019,25,1,1384,,5120,Disabled
1020,25,1,777,1007,3072,1
1021,25,1,781,983,3072,Pressed
1022,25,1,,311,,Pressed-On to Normal-On
1023,25,1,516,629,2048,Off
1024,25,1,,671,,Normal
1025,25,1,4474,,6144,Deeply Pressed
1026,25,1,34,871,5120,3
1027,25,1,630,907,3072,On
1028,25,1,,927,,Normal-Off to Normal-Mixed
1029,25,1,4499,628,6144,4
1030,25,1,4742,,4096,Disabled
1031,25,1,,2237,,Normal
1032,25,1,743,960,3072,On
1033,25,1,1019,803,3072,On
1034,25,1,4647,3430,2048,Normal
1035,25,1,918,800,2048,Off
1036,25,1,3781,,4096,Disabled
1037,25,1,456,733,4096,Disabled
1038,25,1,310,523,3072,1
1039,25,1,527,613,2048,Off
1040,25,1,524,517,2048,Normal
1041,25,1,4350,,4096,Disabled
1042,25,1,2678,,3072,Pressed
1043,25,1,720,782,3072,On
1044,25,1,874,787,3072,On
1045,25,1,1604,1155,2048,Off
1046,25,1,1947,1624,3072,On
1047,25,1,4931,,3072,Pressed
1048,25,1,4391,1987,3072,On
1049,25,1,3688,,5120,Deeply Pressed
1050,25,1,976,827,2048,0
1051,25,1,3689,,5120,Deeply Pressed
1052,25,1,3254,1065,3072,Rollover
1053,25,1,2412,,3072,Pressed
1054,25,1,,834,,Background
1055,25,1,1094,981,2048,Normal
1056,25,1,,825,,Normal
1057,25,1,,,,Active
1058,25,1,4099,1424,4096,Pressed
1059,25,1,4121,940,3072,On
1060,25,1,975,832,2048,Normal
1061,25,1,1958,,4096,Pressed
1062,25,1,3407,2690,3072,Pressed
1063,25,1,776,1042,3072,On
1064,25,1,574,967,3072,On
1065,25,1,4374,955,2048,Off
1066,25,1,4383,956,2048,Off
1067,25,1,3324,,3072,Rollover
1068,25,1,813,1017,2048,Off
1069,25,1,,781,,Disabled
1070,25,1,29,598,4096,Mixed
1071,25,1,1363,1240,3072,On
1072,25,1,699,912,3072,Pressed
1073,25,1,3285,,6144,Deeply Pressed
1074,25,1,817,805,3072,1
1075,25,1,394,448,3072,On
1076,25,1,366,,3072,Pressed
1077,25,1,,2062,,Normal
1078,25,1,1208,,2048,Normal
1079,25,1,820,796,3072,Pressed
1080,25,1,2125,,4096,Pressed
1081,25,1,4870,,2048,Normal
1082,25,1,158,870,4096,Mask
1083,25,1,1036,651,2048,Off
1084,25,1,612,1018,4096,Disabled
1085,25,1,,,,Active
1086,25,1,4789,,4096,Disabled
1087,25,1,531,445,2048,Off
1088,25,1,1017,868,2048,Off
1089,25,1,949,,2048,Normal
1090,25,1,1042,1006,2048,Off
1091,25,1,2317,1907,3072,Pressed
1092,25,1,978,822,2048,Normal
1093,25,1,4934,,3072,Pressed
1094,25,1,,,,Inactive
1095,25,1,851,867,2048,Off
1096,25,1,,2883,,Normal
1097,25,1,619,1013,4096,Mask
1098,25,1,4092,,3072,Pressed
1099,25,1,2474,676,5120,3
1100,25,1,,,,Inactive
1101,25,1,,3407,,Normal
1102,25,1,,2700,,Pressed
1103,25,1,,,,Inactive
1104,25,1,313,551,3072,Mask
1105,25,1,698,954,3072,On
1106,25,1,3732,,4096,Pressed
1107,25,1,1395,1168,2048,Off
1108,25,1,951,1004,3072,1
1109,25,1,972,849,2048,0
1110,25,1,,,,Inactive
1111,25,1,4920,830,3072,On
1112,25,1,50,1680,4096,Mixed
1113,25,1,,942,,Normal-On to Normal-Off
1114,25,1,1025,996,2048,Off
1115,25,1,1247,961,2048,Off
1116,25,1,,,,Active
1117,25,1,1287,986,2048,Off
1118,25,1,837,634,2048,Off
1119,25,1,974,900,2048,0
1120,25,1,1053,968,3072,1
1121,25,1,4930,358,4096,Disabled
1122,25,1,364,720,4096,Mixed
1123,25,1,702,944,5120,Interior
1124,25,1,736,806,3072,Pressed
1125,25,1,330,,2048,Normal
1126,25,1,,602,,Normal-Off to Normal-On
1127,25,1,,,,Active
1128,25,1,806,1991,4096,Mixed
1129,25,1,1154,901,3072,On
1130,25,1,,,,Active
1131,25,1,4391,730,2048,Off
1132,25,1,803,847,3072,On
1133,25,1,4935,1315,3072,On
1134,25,1,1245,1010,2048,Off
1135,25,1,2835,642,3072,On
1136,25,1,,,,Active
1137,25,1,1057,874,2048,Normal
1138,25,1,630,1037,4096,Mixed
1139,25,1,852,644,2048,Off
1140,25,1,592,581,2048,Normal
1141,25,1,903,917,3072,On
1142,25,1,838,887,2048,0
1143,25,1,793,844,2048,Off
1144,25,1,13,1015,4096,Disabled
1145,25,1,1166,241,4096,Mixed
1146,25,1,,,,Inactive
1147,25,1,1081,908,2048,Off
1148,25,1,1089,909,2048,0
1149,25,1,,1905,,Normal
1150,25,1,677,734,3072,On
1151,25,1,74,580,3072,On
1152,25,1,3954,,5120,Disabled
1153,25,1,,,,Active
1154,25,1,802,,2048,Normal
1155,25,1,,,,Active
1156,25,1,2381,,5120,Disabled
1157,25,1,3883,3502,3072,On
1158,25,1,638,739,3072,1
1159,25,1,752,962,3072,Pressed
1160,25,1,915,843,3072,On
1161,25,1,966,653,2048,Off
1162,25,1,803,614,2048,Off
1163,25,1,628,713,2048,Off
1164,25,1,922,985,3072,On
1165,25,1,,888,,Background
1166,25,1,2679,,4096,Disabled
1167,25,1,4499,1072,7168,5
1168,25,1,4094,162,5120,Interior
1169,25,1,1085,893,2048,Normal
1170,25,1,,863,,Normal-On to Normal-Off
1171,25,1,7,,2048,Normal
1172,25,1,,897,,Normal
1173,25,1,749,1000,3072,On
1174,25,1,,,,Active
1175,25,1,838,1056,3072,1
1176,25,1,773,846,3072,Pressed
1177,25,1,638,768,2048,0
1178,25,1,850,1044,3072,On
1179,25,1,707,930,3072,1
1180,25,1,,,,Active
1181,25,1,858,1039,3072,On
1182,25,1,600,,3072,Pressed
1183,25,1,1363,745,2048,Off
1184,25,1,620,645,3072,On
1185,25,1,401,934,5120,Interior
1186,25,1,,,,Inactive
1187,25,1,1438,812,2048,Off
1188,25,1,1166,778,2048,Off
1189,25,1,3254,820,4096,Pressed
1190,25,1,747,1045,3072,On
1191,25,1,1724,1258,2048,Off
1192,25,1,,2500,,Disabled
1193,25,1,777,1023,4096,2
1194,25,1,1004,881,3072,On
1195,25,1,919,899,3072,On
1196,25,1,784,1022,3072,On
1197,25,1,1116,916,2048,Normal
1198,25,1,1011,883,3072,1
1199,25,1,,,,Active
1200,25,1,1847,1603,3072,On
1201,25,1,657,1026,3072,On
1202,25,1,889,1126,3072,On
1203,25,1,1155,769,3072,Mask
1204,25,1,3448,770,3072,On
1205,25,1,,1032,,Normal
1206,25,1,898,1129,3072,1
1207,25,1,1127,2358,2048,Normal
1208,25,1,,,,Inactive
1209,25,1,,1892,,Normal-Off to Pressed-Off
1210,25,1,,864,,Normal
1211,25,1,938,1110,2048,Off
1212,25,1,941,1111,2048,0
1213,25,1,1130,947,2048,Normal
1214,25,1,,841,,Normal
1215,25,1,1100,895,2048,Normal
1216,25,1,626,,3072,Pressed
1217,25,1,,,,Active
1218,25,1,4647,886,3072,Rollover
1219,25,1,920,,2048,Normal
1220,25,1,927,963,4096,Mask
1221,25,1,,106,,Background
1222,25,1,1136,928,2048,Normal
1223,25,1,2929,,6144,Deeply Pressed
1224,25,1,982,1020,3072,1
1225,25,1,1334,995,2048,Off
1226,25,1,1796,1423,2048,Off
1227,25,1,3609,3167,3072,On
1228,25,1,1155,943,2048,Background
1229,25,1,1103,896,2048,Normal
1230,25,1,1468,748,2048,0
1231,25,1,17,,4096,Pressed
1232,25,1,922,753,2048,Off
1233,25,1,13,892,5120,Deeply Pressed
1234,25,1,236,,4096,Disabled
1235,25,1,3995,911,3072,On
1236,25,1,3045,784,3072,Rollover
1237,25,1,1153,936,2048,Normal
1238,25,1,,,,Inactive
1239,25,1,297,1033,5120,Disabled
1240,25,1,1395,1288,3072,On
1241,25,1,1171,970,2048,Off
1242,25,1,450,978,5120,Interior
1243,25,1,82,,2048,Normal
1244,25,1,3855,,4096,Pressed
1245,25,1,395,,3072,Pressed
1246,25,1,807,1141,3072,On
1247,25,1,3866,,5120,Deeply Pressed
1248,25,1,766,949,4096,Disabled
1249,25,1,261,913,5120,3
1250,25,1,1788,905,2048,Off
1251,25,1,,,,Active
1252,25,1,966,914,3072,On
1253,25,1,1219,1093,2048,Off
1254,25,1,2758,2548,4096,Mixed
1255,25,1,,,,Active
1256,25,1,1180,953,2048,Normal
1257,25,1,,1164,,0
1258,25,1,1078,989,2048,Off
1259,25,1,,,,Inactive
1260,25,1,,,,Pressed
1261,25,1,1387,921,3072,Pressed
1262,25,1,2523,2065,3072,Mask
1263,25,1,1499,798,2048,Off
1264,25,1,2535,3377,2048,Off
1265,25,1,1826,1109,3072,On
1266,25,1,722,767,2048,0
1267,25,1,851,965,3072,On
1268,25,1,1551,1069,2048,Off
1269,25,1,,,,Active
1270,25,1,1537,1143,2048,Normal
1271,25,1,991,819,3072,On
1272,25,1,,979,,Pressed-On to Normal-On
1273,25,1,1199,973,2048,Normal
1274,25,1,524,866,4096,Disabled
1275,25,1,684,,3072,Pressed
1276,25,1,,217,,1
1277,25,1,689,,3072,Pressed
1278,25,1,1602,,4096,Disabled
1279,25,1,2085,,6144,Deeply Pressed
1280,25,1,1259,,4096,Disabled
1281,25,1,976,1030,3072,1
1282,25,1,840,959,3072,1
1283,25,1,2020,1799,3072,Pressed
1284,25,1,1822,1331,2048,Off
1285,25,1,841,802,4096,Mixed
1286,25,1,,,,Active
1287,25,1,3251,,6144,Pulse
1288,25,1,1156,1038,2048,0
1289,25,1,1049,673,2048,Off
1290,25,1,1051,674,2048,Off
1291,25,1,1805,,3072,Pressed
1292,25,1,1826,824,2048,Off
1293,25,1,1010,838,3072,On
1294,25,1,1217,,2048,Normal
1295,25,1,144,,2048,Normal
1296,25,1,1174,1365,3072,Disabled
1297,25,1,366,,4096,Disabled
1298,25,1,236,,3072,Pressed
1299,25,1,1243,1014,2048,Off
1300,25,1,984,1199,3072,On
1301,25,1,,851,,Inactive
1302,25,1,2978,842,3072,Rollover
1303,25,1,1041,998,3072,On
1304,25,1,507,,4096,Pressed
1305,25,1,,429,,Normal-Mixed to Normal-Off
1306,25,1,4813,795,6144,4
1307,25,1,743,765,2048,Off
1308,25,1,,1565,,Gradient
1309,25,1,476,,3072,Pressed
1310,25,1,1532,938,3072,Rollover
1311,25,1,1989,2731,3072,On
1312,25,1,978,1095,3072,Pressed
1313,25,1,3708,699,3072,On
1314,25,1,3496,,5120,Disabled
1315,25,1,1010,601,2048,Off
1316,25,1,,,,Inactive
1317,25,1,4617,1118,2048,Off
1318,25,1,921,646,3072,On
1319,25,1,1338,977,3072,On
1320,25,1,917,1059,3072,Pressed
1321,25,1,1439,1081,2048,Normal
1322,25,1,,801,,Pattern Overlay
1323,25,1,4279,831,5120,Interior
1324,25,1,1251,,2048,Normal
1325,25,1,,,,Inactive
1326,25,1,747,694,2048,Off
1327,25,1,880,1068,3072,1
1328,25,1,739,741,3072,On
1329,25,1,899,1046,3072,Pressed
1330,25,1,,,,Active
1331,25,1,4099,2868,2048,Normal
1332,25,1,,171,,Rollover
1333,25,1,,,,Active
1334,25,1,857,,3072,Pressed
1335,25,1,1255,1011,2048,Normal
1336,25,1,,,,Active
1337,25,1,3541,,6144,Deeply Pressed
1338,25,1,1771,,6144,Deeply Pressed
1339,25,1,,,,Inactive
1340,25,1,1294,1034,2048,Off
1341,25,1,776,821,2048,Off
1342,25,1,1216,1058,3072,On
1343,25,1,,,,Inactive
1344,25,1,1435,1133,2048,Off
1345,25,1,1094,1106,3072,Disabled
1346,25,1,3300,385,2048,Off
1347,25,1,,1383,,Pressed
1348,25,1,3613,865,3072,On
1349,25,1,1314,833,2048,Off
1350,25,1,887,,4096,Disabled
1351,25,1,1269,,2048,Normal
1352,25,1,974,1098,3072,1
1353,25,1,,859,,1
1354,25,1,4632,1180,2048,Off
1355,25,1,4611,,3072,Pressed
1356,25,1,817,925,4096,2
1357,25,1,,1664,,Normal
1358,25,1,,,,Inactive
1359,25,1,1073,984,2048,Off
1360,25,1,,1076,,Pressed-On to Normal-Off
1361,25,1,,,,Active
1362,25,1,1295,1054,2048,Off
1363,25,1,4583,,3072,Rollover
1364,25,1,1286,1040,2048,Background
1365,25,1,1078,1027,3072,On
1366,25,1,4511,2243,3072,On
1367,25,1,1499,1272,3072,On
1368,25,1,,,,Normal
1369,25,1,1355,389,2048,Off
1370,25,1,382,1563,4096,Mixed
1371,25,1,,,,Normal
1372,25,1,837,1157,3072,On
1373,25,1,931,736,3072,1
1374,25,1,820,1242,4096,Disabled
1375,25,1,227,,2048,Normal
1376,25,1,,656,,Disabled
1377,25,1,975,570,3072,Rollover
1378,25,1,401,889,3072,Pressed
1379,25,1,316,507,3072,On
1380,25,1,699,1071,4096,Disabled
1381,25,1,1245,1175,3072,On
1382,25,1,4380,,5120,Deeply Pressed
1383,25,1,1080,1151,3072,1
1384,25,1,,,,Active
1385,25,1,,1135,,Pressed
1386,25,1,1324,1067,2048,Off
1387,25,1,,,,Inactive
1388,25,1,,686,,Pressed-Off to Normal-Off
1389,25,1,,,,Active
1390,25,1,3022,2368,2048,Off
1391,25,1,1093,652,2048,Off
1392,25,1,,1156,,Outline
1393,25,1,3172,2566,3072,Pressed
1394,25,1,852,1182,3072,On
1395,25,1,,,,Pressed
1396,25,1,784,650,2048,Off
1397,25,1,322,,3072,Pressed
1398,25,1,2077,1293,2048,Off
1399,25,1,1106,804,2048,Off
1400,25,1,,,,Active
1401,25,1,566,1361,6144,4
1402,25,1,,1669,,Inactive
1403,25,1,1336,1055,2048,Normal
1404,25,1,1275,1100,3072,On
1405,25,1,1387,771,2048,Normal
1406,25,1,1521,1140,2048,Off
1407,25,1,1330,2126,2048,Normal
1408,25,1,,1491,,Pressed-Mixed to Normal-Mixed
1409,25,1,456,1139,5120,Deeply Pressed
1410,25,1,2835,731,4096,Mixed
1411,25,1,1333,1060,2048,Normal
1412,25,1,,,,Inactive
1413,25,1,221,,4096,Pressed
1414,25,1,1067,1043,3072,On
1415,25,1,1351,1091,2048,Off
1416,25,1,2116,,4096,Disabled
1417,25,1,,1207,,Normal-On to Pressed-On
1418,25,1,,744,,Normal-On to Pressed-On
1419,25,1,975,583,4096,Pressed
1420,25,1,2914,1835,3072,On
1421,25,1,592,1313,4096,Disabled
1422,25,1,2023,1561,2048,Off
1423,25,1,1100,1162,3072,Pressed
1424,25,1,2474,875,6144,4
1425,25,1,1695,1428,2048,0
1426,25,1,,467,,Normal
1427,25,1,3237,1204,4096,Disabled
1428,25,1,1049,1077,3072,On
1429,25,1,1051,1078,3072,On
1430,25,1,1672,848,2048,Off
1431,25,1,850,860,2048,Off
1432,25,1,1375,1108,2048,Off
1433,25,1,3032,3418,3072,On
1434,25,1,1093,924,3072,On
1435,25,1,583,,3072,Pressed
1436,25,1,1368,1085,2048,Off
1437,25,1,1371,1083,2048,Off
1438,25,1,1954,,6144,Deeply Pressed
1439,25,1,,,,Inactive
1440,25,1,547,755,3072,On
1441,25,1,,,,Active
1442,25,1,3009,933,3072,On
1443,25,1,668,935,3072,On
1444,25,1,858,898,2048,Off
1445,25,1,1061,1074,3072,On
1446,25,1,1156,1496,3072,1
1447,25,1,836,,3072,Pressed
1448,25,1,,743,,Pressed-Mixed to Normal-On
1449,25,1,1682,856,2048,0
1450,25,1,,1161,,Disabled
1451,25,1,1468,1327,3072,1
1452,25,1,,,,Active
1453,25,1,560,,3072,Pressed
1454,25,1,834,957,3072,Disabled
1455,25,1,,,,Active
1456,25,1,1030,1193,3072,On
1457,25,1,809,1643,5120,Mask
1458,25,1,4189,1993,2048,Off
1459,25,1,1019,1225,4096,Mixed
1460,25,1,3657,,6144,Deeply Pressed
1461,25,1,958,861,2048,Normal
1462,25,1,429,,4096,Disabled
1463,25,1,1438,992,3072,On
1464,25,1,4759,1216,2048,Off
1465,25,1,736,1229,4096,Disabled
1466,25,1,4435,,5120,Deeply Pressed
1467,25,1,889,910,2048,Off
1468,25,1,4335,,3072,Rollover
1469,25,1,1339,,2048,Normal
1470,25,1,1017,1197,3072,On
1471,25,1,,,,Inactive
1472,25,1,898,915,2048,0
1473,25,1,1298,1079,3072,1
1474,25,1,1219,1420,3072,On
1475,25,1,1400,,2048,Normal
1476,25,1,862,,3072,Pressed
1477,25,1,867,,3072,Pressed
1478,25,1,4822,,4096,Disabled
1479,25,1,1247,1061,3072,On
1480,25,1,1961,1352,2048,Off
1481,25,1,1672,1297,3072,On
1482,25,1,1152,1248,3072,On
1483,25,1,809,1012,3072,Pressed
1484,25,1,473,545,3072,On
1485,25,1,,592,,1
1486,25,1,,,,Active
1487,25,1,1594,,2048,Normal
1488,25,1,,2466,,Normal
1489,25,1,1576,1239,2048,Off
1490,25,1,1182,1342,3072,On
1491,25,1,958,1167,3072,Pressed
1492,25,1,922,1185,4096,Mixed
1493,25,1,1234,1300,2048,0
1494,25,1,,1270,,Pressed-On to Normal-Off
1495,25,1,,,,Active
1496,25,1,1057,1184,3072,Disabled
1497,25,1,1682,1312,3072,1
1498,25,1,1723,1390,2048,0
1499,25,1,4611,,5120,Deeply Pressed
1500,25,1,1238,1088,3072,Rollover
1501,25,1,1174,1201,2048,Normal
1502,25,1,1466,1255,3072,On
1503,25,1,859,1376,4096,Disabled
1504,25,1,1223,1485,3072,On
1505,25,1,3853,980,3072,On
1506,25,1,,1089,,Normal-Mixed to Pressed-Mixed
1507,25,1,773,1265,4096,Disabled
1508,25,1,1086,1230,3072,On
1509,25,1,1609,1187,2048,Off
1510,25,1,,,,Inactive
1511,25,1,325,,3072,Pressed
1512,25,1,198,,3072,Rollover
1513,25,1,4350,,5120,Deeply Pressed
1514,25,1,,1103,,Pressed-Mixed to Normal-On
1515,25,1,4861,1009,2048,Off
1516,25,1,1475,1148,2048,Off
1517,25,1,1441,,2048,Normal
1518,25,1,,1307,,1
1519,25,1,,698,,Pattern Overlay
1520,25,1,809,966,4096,Disabled
1521,25,1,4148,,5120,Deeply Pressed
1522,25,1,1244,894,2048,Off
1523,25,1,,2407,,Gradient
1524,25,1,1854,1482,3072,Pressed
1525,25,1,1081,1052,3072,On
1526,25,1,1080,1031,2048,0
1527,25,1,918,873,3072,On
1528,25,1,,,,Active
1529,25,1,1452,,2048,Normal
1530,25,1,1645,1237,2048,Off
1531,25,1,734,,3072,Pressed
1532,25,1,,,,Inactive
1533,25,1,1455,,2048,Normal
1534,25,1,,16,,Active
1535,25,1,1231,972,2048,Off
1536,25,1,379,,2048,Normal
1537,25,1,,,,Inactive
1538,25,1,4157,,4096,Pressed
1539,25,1,3355,1005,3072,On
1540,25,1,544,,4096,Disabled
1541,25,1,4624,3288,3072,On
1542,25,1,2122,1369,2048,Normal
1543,25,1,,,,Inactive
1544,25,1,752,1117,4096,Disabled
1545,25,1,2203,,6144,Deeply Pressed
1546,25,1,,1262,,Normal-Mixed to Normal-On
1547,25,1,1511,969,2048,Off
1548,25,1,1510,1289,2048,Normal
1549,25,1,396,,2048,Normal
1550,25,1,4184,,5120,Deeply Pressed
1551,25,1,1110,,2048,Normal
1552,25,1,938,1254,3072,On
1553,25,1,1486,1160,2048,Normal
1554,25,1,,,,Active
1555,25,1,1287,1421,3072,On
1556,25,1,941,1257,3072,1
1557,25,1,1260,1399,3072,On
1558,25,1,,1274,,Rollover
1559,25,1,1495,,2048,Normal
1560,25,1,1334,1203,3072,On
1561,25,1,984,982,2048,Off
1562,25,1,1146,1259,2048,Normal
1563,25,1,1469,1002,2048,0
1564,25,1,976,1188,4096,2
1565,25,1,,,,Inactive
1566,25,1,1036,1131,4096,Mixed
1567,25,1,,1163,,Background
1568,25,1,944,,3072,Pressed
1569,25,1,1073,1543,3072,On
1570,25,1,1551,1373,3072,On
1571,25,1,1389,,2048,Normal
1572,25,1,1533,1196,2048,Off
1573,25,1,1314,1144,3072,On
1574,25,1,798,932,3072,Disabled
1575,25,1,1277,1422,3072,On
1576,25,1,715,,3072,Pressed
1577,25,1,1435,1325,3072,On
1578,25,1,1517,1202,2048,Off
1579,25,1,,1125,,1
1580,25,1,,,,Active
1581,25,1,972,920,3072,1
1582,25,1,840,1263,4096,2
1583,25,1,1529,1209,2048,Off
1584,25,1,433,,2048,Normal
1585,25,1,859,885,3072,Pressed
1586,25,1,1926,,4096,Disabled
1587,25,1,,1099,,Pressed-On to Normal-On
1588,25,1,2168,1417,2048,Normal
1589,25,1,4073,1205,4096,Mixed
1590,25,1,1476,1235,3072,1
1591,25,1,625,939,4096,2
1592,25,1,,1403,,Gradient
1593,25,1,1536,1215,2048,Off
1594,25,1,,,,Inactive
1595,25,1,1453,1136,2048,Off
1596,25,1,3987,880,3072,On
1597,25,1,1103,1050,3072,Disabled
1598,25,1,1337,1142,2048,Off
1599,25,1,1528,1190,2048,Normal
1600,25,1,1279,1189,3072,On
1601,25,1,,1174,,0
1602,25,1,,,,Inactive
1603,25,1,,1375,,Pressed
1604,25,1,544,,3072,Pressed
1605,25,1,,439,,Normal
1606,25,1,1549,1220,2048,Off
1607,25,1,,126,,Normal
1608,25,1,1085,1388,4096,Pressed
1609,25,1,802,,3072,Pressed
1610,25,1,2038,1414,4096,Mixed
1611,25,1,,,,Active
1612,25,1,1571,1228,2048,0
